timestamp,user_id,amount,payee,city,device,is_fraud
2026-08-10 08:02:00,U001,480,friend_amit,Ranchi,DEV-A1,0
2026-08-10 08:09:00,U002,3000,merchant_grocery,Kolkata,DEV-B2,0
2026-08-10 08:37:00,U005,2500,quickcash_pay,Hyderabad,DEV-NEW-87,1
2026-08-10 08:52:00,U004,800,fuel_station,Mumbai,DEV-D4,0
2026-08-10 09:03:00,U001,1200,electricity_board,Ranchi,DEV-A1,0
2026-08-10 09:17:00,U002,1200,merchant_grocery,Kolkata,DEV-B2,0
2026-08-10 02:42:00,U001,49999,support_refund,Ranchi,DEV-NEW-15,1
2026-08-10 10:06:00,U005,120,merchant_grocery,Bengaluru,DEV-E5,0
2026-08-10 10:25:00,U002,480,fuel_station,Kolkata,DEV-B2,0
2026-08-10 10:50:00,U001,1200,friend_amit,Ranchi,DEV-A1,0
2026-08-10 11:13:00,U003,800,medical_store,Delhi,DEV-C3,0
2026-08-10 11:24:00,U001,480,friend_amit,Ranchi,DEV-A1,0
2026-08-10 11:49:00,U004,3000,friend_amit,Mumbai,DEV-D4,0
2026-08-10 11:53:00,U003,50,fuel_station,Delhi,DEV-C3,0
2026-08-10 12:19:00,U003,480,landlord_rent,Delhi,DEV-C3,0
2026-08-10 12:33:00,U003,1500,medical_store,Delhi,DEV-C3,0
2026-08-10 12:43:00,U004,480,medical_store,Mumbai,DEV-D4,0
2026-08-10 13:18:00,U005,1500,landlord_rent,Bengaluru,DEV-E5,0
2026-08-10 13:42:00,U004,250,landlord_rent,Mumbai,DEV-D4,0
2026-08-10 13:48:00,U004,120,friend_amit,Mumbai,DEV-D4,0
2026-08-10 14:16:00,U002,1500,mobile_recharge,Kolkata,DEV-B2,0
2026-08-10 14:46:00,U005,3000,fuel_station,Bengaluru,DEV-E5,0
2026-08-10 14:54:00,U001,3000,fuel_station,Ranchi,DEV-A1,0
2026-08-10 15:16:00,U003,8000,quickcash_pay,Delhi,DEV-NEW-43,1
2026-08-10 15:36:00,U001,3000,landlord_rent,Ranchi,DEV-A1,0
2026-08-10 15:46:00,U002,250,landlord_rent,Kolkata,DEV-B2,0
2026-08-10 15:47:00,U005,2200,merchant_grocery,Bengaluru,DEV-E5,0
2026-08-10 16:11:00,U001,800,friend_amit,Ranchi,DEV-A1,0
2026-08-10 16:27:00,U001,120,merchant_grocery,Ranchi,DEV-A1,0
2026-08-10 16:32:00,U004,3000,fuel_station,Mumbai,DEV-D4,0
2026-08-10 16:41:00,U002,3000,friend_amit,Kolkata,DEV-B2,0
2026-08-10 17:15:00,U003,1500,friend_amit,Delhi,DEV-C3,0
2026-08-10 17:28:00,U005,1500,medical_store,Bengaluru,DEV-E5,0
2026-08-10 17:57:00,U003,2200,merchant_grocery,Delhi,DEV-C3,0
2026-08-10 00:12:00,U002,2500,support_refund,Chennai,DEV-NEW-85,1
2026-08-10 18:34:00,U001,3500,verify_kyc_now,Hyderabad,DEV-A1,1
2026-08-10 19:05:00,U005,2200,fuel_station,Bengaluru,DEV-E5,0
2026-08-10 02:18:00,U004,15000,verify_kyc_now,Mumbai,DEV-NEW-69,1
2026-08-10 19:34:00,U001,3000,mobile_recharge,Ranchi,DEV-A1,0
2026-08-10 20:02:00,U002,2200,friend_amit,Kolkata,DEV-B2,0
2026-08-10 20:31:00,U001,3000,merchant_grocery,Ranchi,DEV-A1,0
2026-08-10 21:06:00,U001,120,fuel_station,Ranchi,DEV-A1,0
2026-08-10 21:17:00,U002,2200,friend_amit,Kolkata,DEV-B2,0
2026-08-10 21:21:00,U004,50,mobile_recharge,Mumbai,DEV-D4,0
2026-08-10 21:51:00,U003,3000,medical_store,Delhi,DEV-C3,0
2026-08-10 22:01:00,U004,480,merchant_grocery,Mumbai,DEV-D4,0
2026-08-10 04:36:00,U005,5000,unknown_9284,Bengaluru,DEV-NEW-71,1
2026-08-10 22:48:00,U001,15000,kyc_update_88,Lucknow,DEV-A1,1
